date,open,high,low,close,volume
2023-03-24,39555.25,39767.55,39294.9,39351.8,0
2023-03-27,39484.7,39694.05,39274.7,39309.45,0
2023-03-28,39545.05,39641.25,39328.75,39605.95,0
2023-03-29,39611.55,40051.9,39611.55,40013.3,0
2023-03-31,40231.25,40688.85,40205.6,40602.35,0
2023-04-03,40695.8,40857.05,40536.15,40815.1,0
2023-04-05,40972.3,41069.3,40814.15,41008.55,0
2023-04-06,40940.7,41274.4,40821.9,41039.05,0
2023-04-10,41116.15,41134.9,40730.0,40796.45,0
2023-04-11,41232.0,41402.3,41026.25,41385.05,0
2023-04-12,41426.0,41610.15,41334.85,41577.2,0
2023-04-13,41680.1,42193.95,41504.1,42137.8,0
2023-04-17,42603.55,42603.55,41801.15,42216.7,0
2023-04-18,42406.95,42497.95,42119.8,42255.65,0
2023-04-19,42280.1,42338.2,42022.5,42151.1,0
2023-04-20,42218.5,42377.05,42109.05,42274.2,0
2023-04-21,42252.55,42379.6,41963.85,42089.25,0
2023-04-24,42469.95,42713.25,42293.45,42641.85,0
2023-04-25,42731.6,42864.9,42604.5,42654.15,0
2023-04-26,42559.05,42869.65,42434.85,42866.45,0
2023-04-27,42753.9,43042.25,42742.45,42961.75,0
2023-04-28,43045.5,43300.2,42811.1,43226.25,0
2023-05-02,43395.05,43483.85,43283.65,43309.65,0
2023-05-03,43154.85,43354.05,43079.65,43292.0,0
2023-05-04,43236.1,43737.5,43221.25,43635.9,0
2023-05-05,43110.65,43581.55,42587.55,42669.25,0
2023-05-08,42796.85,43418.55,42796.85,43314.4,0
2023-05-09,43438.55,43532.4,43129.25,43171.6,0
2023-05-10,43275.25,43379.3,42824.55,43343.85,0
2023-05-11,43535.1,43672.05,43370.2,43506.75,0
2023-05-12,43447.15,43903.6,43347.75,43794.2,0
2023-05-15,43821.05,44151.7,43673.05,44045.15,0
2023-05-16,44144.15,44144.15,43818.6,43856.0,0
2023-05-17,43948.5,43987.25,43447.45,43748.9,0
2023-05-18,44006.9,44079.2,43677.0,43770.1,0
2023-05-19,43930.0,44020.8,43532.25,43956.4,0
2023-05-22,43935.3,44026.2,43686.1,43826.2,0
2023-05-23,43978.9,44093.8,43860.4,43873.85,0
2023-05-24,43751.95,44010.45,43639.8,43662.9,0
2023-05-25,43630.25,43717.95,43393.35,43679.2,0
2023-05-26,43765.35,44066.5,43589.15,43996.5,0
2023-05-29,44276.8,44478.95,44228.35,44323.45,0
2023-05-30,44277.35,44494.75,44211.75,44457.5,0
2023-05-31,44318.0,44332.55,43824.75,44147.8,0
2023-06-01,44172.05,44177.95,43708.25,43790.0,0
2023-06-02,43997.3,44088.9,43813.65,43880.75,0
2023-06-05,44103.25,44265.25,44075.7,44099.75,0
2023-06-06,44156.7,44235.9,44009.7,44209.4,0
2023-06-07,44318.7,44345.8,44148.65,44279.6,0
2023-06-08,44208.3,44458.15,43918.1,44007.7,0
2023-06-09,44045.75,44218.05,43934.5,43990.6,0
2023-06-12,44035.2,44092.2,43874.05,43956.45,0
2023-06-13,43889.7,44137.8,43889.7,44109.05,0
2023-06-14,44181.65,44197.75,43957.3,43964.8,0
